# tools/sanitizer/tsan_expected.txt — THE VERDICT FUNCTION of the
# ThreadSanitizer lane (task 1411). `lane.d tsan-verdict` is the only thing
# that decides whether a night is green, and this file is what it decides
# against.
#
# WHY THE PRESENCE OF A REPORT CANNOT BE THE VERDICT
# --------------------------------------------------
# This lane is NOISY BY CONSTRUCTION on a healthy night. Five routes carry
# races the source itself records as real and deliberately deferred to task
# 0950 (/api/selection, /api/undo/status, /api/history, /api/play-events,
# /api/play-events/status), and the lane's own live shutdown control REQUIRES
# one more to appear. On top of that TSan exits 66 whenever it has reported
# anything at all, so the exit code says "something was reported", never
# "something is wrong". A lane whose success and failure produce the same exit
# code is not a lane; and a lane that reddens on its first unfamiliar finding
# gets switched off rather than read — the neighbouring sanitizer workflow's
# Gate step says exactly that, in as many words.
#
# So the verdict is a DIVERGENCE FROM THIS FILE, and it runs in BOTH
# directions:
#
#   * a signature in the report that is NOT declared here      -> RED (new race)
#   * a `required` signature declared here that did NOT fire   -> RED (either
#     it was fixed — delete the line — or the instrument went blind)
#   * a `tolerated` signature that did not fire                -> recorded only
#   * the sweep sentinel missing                               -> RED (the
#     sweep died partway; without this, a process killed at route 3 of 57 is
#     indistinguishable from a clean run)
#   * no report file at all while a scenario carrying a `required` signature
#     ran                                                      -> RED
#
# WHAT IS DELIBERATELY NOT WITNESSED, stated here rather than implied
# -------------------------------------------------------------------
# The `tolerated` class cannot redden by absence. That is the price of the
# facts that the live shutdown control and several sweep races depend on the
# scheduler and on TSan's io_sync=1 edge, and a gate on a flapping signal is a
# lane that gets disabled. What witnesses the mechanism is the `required`
# class, and at least one `required` line (the synthetic control) is
# deterministic by construction. If every `required` line ever becomes
# scheduler-dependent, this lane has stopped proving anything.
#
# SIGNATURE FORMAT — a pair of SYMBOLS, never line numbers
# --------------------------------------------------------
# Measured in phase 0: for one racing field TSan reports ONE of several
# possible line pairs (after a report it resets that address's shadow state,
# so the second pair on the same byte never gets its own report), and line
# numbers move under every rebase. So the signature normalises to:
#
#   for each `WARNING: ThreadSanitizer: data race` block, take each of the two
#   access stacks; in each, the FIRST frame whose file lies under source/;
#   reduce it to `symbol@basename` with the :line dropped; sort the two keys
#   and join them with " ^ ". Frames in Phobos/druntime/libc never enter a
#   signature.
#
# A block whose two stacks contain no source/ frame at all normalises to the
# literal `<no-source-frame>` and is reported as such rather than dropped.
#
# ROW FORMAT
#   class | scenario | signature | date | task | one reason
#   class    ∈ required, tolerated
#   scenario ∈ selfcheck, sweep, shutdown, bridge, parallel
#
# Blank lines and `#` lines are ignored. A row without a task is not accepted
# at review. `required` is earned, not assumed: a finding enters it only after
# three consecutive reproductions; anything else is `tolerated` with the reason
# written down.

required | selfcheck | selftest_fault.selfTestRaceWorker()@selftest_fault.d ^ selftest_fault.selfTestRaceWorker()@selftest_fault.d | 2026-08-19 | 1411 | the synthetic control; deterministic by construction, and the only proof the instrument is armed
tolerated | selfcheck | http_server.HttpServer.start().__lambda_L1469_C35()@http_server.d ^ http_server.HttpServer.stop()@http_server.d | 2026-08-19 | 0950 | the accept loop against stop(): isRunning (:1507 vs :1480) and serverSocket (:1519 vs :1482). MEASURED here, and it fires on every clean shutdown, so every scenario that shuts down cleanly carries it
tolerated | shutdown | http_server.HttpServer.start().__lambda_L1469_C35()@http_server.d ^ http_server.HttpServer.stop()@http_server.d | 2026-08-19 | 0950 | same pair, in the dedicated shutdown A/B. tolerated and not required: the plan predicted the bridge atomics would order it away, and although they measurably do not, one night's measurement is not three
tolerated | sweep | http_server.HttpServer.start().__lambda_L1469_C35()@http_server.d ^ http_server.HttpServer.stop()@http_server.d | 2026-08-19 | 0950 | same pair; the sweep also ends in a clean shutdown
tolerated | bridge | http_server.HttpServer.start().__lambda_L1469_C35()@http_server.d ^ http_server.HttpServer.stop()@http_server.d | 2026-08-19 | 0950 | same pair; the bridge scenario also ends in a clean shutdown
tolerated | sweep | change_bus.ChangeBus.flush(uint, uint, uint, bool, seltype.SelType)@change_bus.d ^ http_server.HttpServer.route_apiChanges(http_server.HttpRequest, http_server.HttpResponse)@http_server.d | 2026-08-19 | 0950 | NEW FINDING: /api/changes reads the change bus on the HTTP thread while the main thread flushes it. Its kRoutes row says httpThread, and it is NOT one of the five races 0763 recorded - exactly the class the route table cannot certify
tolerated | sweep | eventlog.EventPlayer.load(immutable(char)[])@eventlog.d ^ eventlog.EventPlayer.tick()@eventlog.d | 2026-08-19 | 0950 | /api/play-events: entries[] written on the HTTP thread while tick() reads it. Recorded in the source and deferred to 0950; this is that race, observed
tolerated | sweep | perf_probe.FrameWorkProbe.backdrop()@perf_probe.d ^ perf_probe.FrameWorkProbe.reset()@perf_probe.d | 2026-08-19 | 0950 | NEW FINDING: the frame counters are reset from the HTTP thread (/api/frames/counts/reset) while the main thread writes them
tolerated | sweep | perf_probe.FrameWorkProbe.beginFrame()@perf_probe.d ^ perf_probe.FrameWorkProbe.reset()@perf_probe.d | 2026-08-19 | 0950 | NEW FINDING: same counters, begin-of-frame writer
tolerated | sweep | perf_probe.FrameWorkProbe.endFrame()@perf_probe.d ^ perf_probe.FrameWorkProbe.reset()@perf_probe.d | 2026-08-19 | 0950 | NEW FINDING: same counters, end-of-frame writer
tolerated | bridge | http_server.HttpServer.route_apiRegistry(http_server.HttpRequest, http_server.HttpResponse)@http_server.d ^ http_server.HttpServer.setRegistryProvider(immutable(char)[](bool) delegate)@http_server.d | 2026-08-19 | 0950 | NEW FINDING: the HTTP thread serves /api/registry while the main thread is still INSTALLING that provider. This is the readiness window measured here - start() at app.d:1145, wireHttpProviders() at :4372 - now confirmed as a data race, not just a timing gap
